Date,Day,Week,Month,Year,Sales_inc_VAT,sales_excl_VAT,FY,Tertial,Store Name
31/01/2016,31,4,1,2016,277541,222032.8,FY17,T2,Croydon
07/02/2016,7,5,2,2016,413033,330426.4,FY17,T2,Croydon
14/02/2016,14,6,2,2016,315644,252515.2,FY17,T2,Croydon
21/02/2016,21,7,2,2016,404432,323545.6,FY17,T2,Croydon
28/02/2016,28,8,2,2016,253964,203171.2,FY17,T2,Croydon
06/03/2016,6,9,3,2016,299181,239344.8,FY17,T2,Croydon
13/03/2016,13,10,3,2016,254436,203548.8,FY17,T2,Croydon
20/03/2016,20,11,3,2016,377719,302175.2,FY17,T2,Croydon
27/03/2016,27,12,3,2016,139847,111877.6,FY17,T2,Croydon
03/04/2016,3,13,4,2016,168165,134532,FY17,T2,Croydon
10/04/2016,10,14,4,2016,404587,323669.6,FY17,T2,Croydon
17/04/2016,17,15,4,2016,374458,299566.4,FY17,T2,Croydon
24/04/2016,24,16,4,2016,206513,165210.4,FY17,T2,Croydon
01/05/2016,1,17,5,2016,350882,280705.6,FY17,T3,Croydon
08/05/2016,8,18,5,2016,140794,112635.2,FY17,T3,Croydon
15/05/2016,15,19,5,2016,257861,206288.8,FY17,T3,Croydon
22/05/2016,22,20,5,2016,191259,153007.2,FY17,T3,Croydon
29/05/2016,29,21,5,2016,173632,138905.6,FY17,T3,Croydon
05/06/2016,5,22,6,2016,103322,82657.6,FY17,T3,Croydon
12/06/2016,12,23,6,2016,472574,378059.2,FY17,T3,Croydon
19/06/2016,19,24,6,2016,104622,83697.6,FY17,T3,Croydon
26/06/2016,26,25,6,2016,171806,137444.8,FY17,T3,Croydon
03/07/2016,3,26,7,2016,303082,242465.6,FY17,T3,Croydon
10/07/2016,10,27,7,2016,119039,95231.2,FY17,T3,Croydon
17/07/2016,17,28,7,2016,484685,387748,FY17,T3,Croydon
24/07/2016,24,29,7,2016,128691,102952.8,FY17,T3,Croydon
31/07/2016,31,30,7,2016,345635,276508,FY17,T3,Croydon
07/08/2016,7,31,8,2016,474709,379767.2,FY17,T3,Croydon
14/08/2016,14,32,8,2016,111101,88880.8,FY17,T3,Croydon
21/08/2016,21,33,8,2016,135059,108047.2,FY17,T3,Croydon
28/08/2016,28,34,8,2016,177992,142393.6,FY17,T3,Croydon
04/09/2016,4,35,9,2016,151958,121566.4,FY18,T1,Croydon
11/09/2016,11,36,9,2016,409608,327686.4,FY18,T1,Croydon
18/09/2016,18,37,9,2016,396976,317580.8,FY18,T1,Croydon
25/09/2016,25,38,9,2016,371349,297079.2,FY18,T1,Croydon
02/10/2016,2,39,10,2016,334162,267329.6,FY18,T1,Croydon
09/10/2016,9,40,10,2016,330612,264489.6,FY18,T1,Croydon
16/10/2016,16,41,10,2016,400028,320022.4,FY18,T1,Croydon
23/10/2016,23,42,10,2016,399122,319297.6,FY18,T1,Croydon
30/10/2016,30,43,10,2016,170262,136209.6,FY18,T1,Croydon
06/11/2016,6,44,11,2016,154565,123652,FY18,T1,Croydon
13/11/2016,13,45,11,2016,342876,274300.8,FY18,T1,Croydon
20/11/2016,20,46,11,2016,350715,280572,FY18,T1,Croydon
27/11/2016,27,47,11,2016,345315,276252,FY18,T1,Croydon
04/12/2016,4,48,12,2016,405602,324481.6,FY18,T1,Croydon
11/12/2016,11,49,12,2016,142415,113932,FY18,T1,Croydon
18/12/2016,18,50,12,2016,422993,338394.4,FY18,T1,Croydon
25/12/2016,25,51,12,2016,300451,240360.8,FY18,T1,Croydon
01/01/2017,1,52,1,2017,120562,96449.6,FY18,T2,Croydon
08/01/2017,8,1,1,2017,291609,233287.2,FY18,T2,Croydon
15/01/2017,15,2,1,2017,402154,321723.2,FY18,T2,Croydon
22/01/2017,22,3,1,2017,185566,148452.8,FY18,T2,Croydon
29/01/2017,29,4,1,2017,438826,351060.8,FY18,T2,Croydon
05/02/2017,5,5,2,2017,489735,391788,FY18,T2,Croydon
12/02/2017,12,6,2,2017,384334,307467.2,FY18,T2,Croydon
19/02/2017,19,7,2,2017,222995,178396,FY18,T2,Croydon
26/02/2017,26,8,2,2017,425001,340000.8,FY18,T2,Croydon
05/03/2017,5,9,3,2017,333011,266408.8,FY18,T2,Croydon
12/03/2017,12,10,3,2017,388882,311105.6,FY18,T2,Croydon
19/03/2017,19,11,3,2017,263630,210904,FY18,T2,Croydon
26/03/2017,26,12,3,2017,274598,219678.4,FY18,T2,Croydon
02/04/2017,2,13,4,2017,233750,187000,FY18,T2,Croydon
09/04/2017,9,14,4,2017,419962,335969.6,FY18,T2,Croydon
04/01/2015,4,1,1,2015,397845,318276,FY16,T2,Tottenham
11/01/2015,11,2,1,2015,344470,275576,FY16,T2,Tottenham
18/01/2015,18,3,1,2015,188326,150660.8,FY16,T2,Tottenham
25/01/2015,25,4,1,2015,467042,373633.6,FY16,T2,Tottenham
01/02/2015,1,5,2,2015,241628,193302.4,FY16,T2,Tottenham
08/02/2015,8,6,2,2015,359345,287476,FY16,T2,Tottenham
15/02/2015,15,7,2,2015,221736,177388.8,FY16,T2,Tottenham
22/02/2015,22,8,2,2015,259189,207351.2,FY16,T2,Tottenham
01/03/2015,1,9,3,2015,266865,213492,FY16,T2,Tottenham
08/03/2015,8,10,3,2015,131250,105000,FY16,T2,Tottenham
15/03/2015,15,11,3,2015,443560,354848,FY16,T2,Tottenham
22/03/2015,22,12,3,2015,176389,141111.2,FY16,T2,Tottenham
29/03/2015,29,13,3,2015,174474,139579.2,FY16,T2,Tottenham
05/04/2015,5,14,4,2015,188302,150641.6,FY16,T2,Tottenham
12/04/2015,12,15,4,2015,180057,144045.6,FY16,T2,Tottenham
19/04/2015,19,16,4,2015,417669,334135.2,FY16,T2,Tottenham
26/04/2015,26,17,4,2015,446848,357478.4,FY16,T2,Tottenham
03/05/2015,3,18,5,2015,267274,213819.2,FY16,T3,Tottenham
10/05/2015,10,19,5,2015,347525,278020,FY16,T3,Tottenham
17/05/2015,17,20,5,2015,392824,314259.2,FY16,T3,Tottenham
24/05/2015,24,21,5,2015,210555,168444,FY16,T3,Tottenham
31/05/2015,31,22,5,2015,210283,168226.4,FY16,T3,Tottenham
07/06/2015,7,23,6,2015,292739,234191.2,FY16,T3,Tottenham
14/06/2015,14,24,6,2015,161345,129076,FY16,T3,Tottenham
21/06/2015,21,25,6,2015,400572,320457.6,FY16,T3,Tottenham
28/06/2015,28,26,6,2015,458650,366920,FY16,T3,Tottenham
05/07/2015,5,27,7,2015,127068,101654.4,FY16,T3,Tottenham
12/07/2015,12,28,7,2015,187947,150357.6,FY16,T3,Tottenham
19/07/2015,19,29,7,2015,278416,222732.8,FY16,T3,Tottenham
26/07/2015,26,30,7,2015,365517,292413.6,FY16,T3,Tottenham
02/08/2015,2,31,8,2015,418084,334467.2,FY16,T3,Tottenham
09/08/2015,9,32,8,2015,350195,280156,FY16,T3,Tottenham
16/08/2015,16,33,8,2015,461244,368995.2,FY16,T3,Tottenham
23/08/2015,23,34,8,2015,234366,187492.8,FY16,T3,Tottenham
30/08/2015,30,35,8,2015,459806,367844.8,FY16,T3,Tottenham
06/09/2015,6,36,9,2015,286689,229351.2,FY17,T1,Tottenham
13/09/2015,13,37,9,2015,153486,122788.8,FY17,T1,Tottenham
20/09/2015,20,38,9,2015,463034,370427.2,FY17,T1,Tottenham
27/09/2015,27,39,9,2015,366309,293047.2,FY17,T1,Tottenham
04/10/2015,4,40,10,2015,499218,399374.4,FY17,T1,Tottenham
11/10/2015,11,41,10,2015,400741,320592.8,FY17,T1,Tottenham
18/10/2015,18,42,10,2015,305000,244000,FY17,T1,Tottenham
25/10/2015,25,43,10,2015,483981,387184.8,FY17,T1,Tottenham
01/11/2015,1,44,11,2015,284482,227585.6,FY17,T1,Tottenham
08/11/2015,8,45,11,2015,426859,341487.2,FY17,T1,Tottenham
15/11/2015,15,46,11,2015,307992,246393.6,FY17,T1,Tottenham
22/11/2015,22,47,11,2015,380253,304202.4,FY17,T1,Tottenham
29/11/2015,29,48,11,2015,469828,375862.4,FY17,T1,Tottenham
06/12/2015,6,49,12,2015,197825,158260,FY17,T1,Tottenham
13/12/2015,13,50,12,2015,258536,206828.8,FY17,T1,Tottenham
20/12/2015,20,51,12,2015,481710,385368,FY17,T1,Tottenham
27/12/2015,27,52,12,2015,128619,102895.2,FY17,T1,Tottenham
03/01/2016,3,53,1,2016,137532,110025.6,FY17,T2,Tottenham
10/01/2016,10,1,1,2016,345371,276296.8,FY17,T2,Tottenham
17/01/2016,17,2,1,2016,241533,193226.4,FY17,T2,Tottenham
24/01/2016,24,3,1,2016,318390,254712,FY17,T2,Tottenham
31/01/2016,31,4,1,2016,240711,192568.8,FY17,T2,Tottenham
07/02/2016,7,5,2,2016,309344,247475.2,FY17,T2,Tottenham
14/02/2016,14,6,2,2016,380270,304216,FY17,T2,Tottenham
21/02/2016,21,7,2,2016,451193,360954.4,FY17,T2,Tottenham
28/02/2016,28,8,2,2016,447044,357635.2,FY17,T2,Tottenham
06/03/2016,6,9,3,2016,302477,241981.6,FY17,T2,Tottenham
13/03/2016,13,10,3,2016,214069,171255.2,FY17,T2,Tottenham
20/03/2016,20,11,3,2016,276221,220976.8,FY17,T2,Tottenham
27/03/2016,27,12,3,2016,420306,336244.8,FY17,T2,Tottenham
03/04/2016,3,13,4,2016,429949,343959.2,FY17,T2,Tottenham
10/04/2016,10,14,4,2016,372501,298000.8,FY17,T2,Tottenham
17/04/2016,17,15,4,2016,244843,195874.4,FY17,T2,Tottenham
24/04/2016,24,16,4,2016,103626,82900.8,FY17,T2,Tottenham
01/05/2016,1,17,5,2016,149198,119358.4,FY17,T3,Tottenham
08/05/2016,8,18,5,2016,434461,347568.8,FY17,T3,Tottenham
15/05/2016,15,19,5,2016,112082,89665.6,FY17,T3,Tottenham
22/05/2016,22,20,5,2016,117916,94332.8,FY17,T3,Tottenham
29/05/2016,29,21,5,2016,282563,226050.4,FY17,T3,Tottenham
05/06/2016,5,22,6,2016,416324,333059.2,FY17,T3,Tottenham
12/06/2016,12,23,6,2016,462108,369686.4,FY17,T3,Tottenham
19/06/2016,19,24,6,2016,323247,258597.6,FY17,T3,Tottenham
26/06/2016,26,25,6,2016,122469,97975.2,FY17,T3,Tottenham
03/07/2016,3,26,7,2016,491130,392904,FY17,T3,Tottenham
10/07/2016,10,27,7,2016,178059,142447.2,FY17,T3,Tottenham
17/07/2016,17,28,7,2016,208010,166408,FY17,T3,Tottenham
24/07/2016,24,29,7,2016,391180,312944,FY17,T3,Tottenham
31/07/2016,31,30,7,2016,158114,126491.2,FY17,T3,Tottenham
07/08/2016,7,31,8,2016,369655,295724,FY17,T3,Tottenham
14/08/2016,14,32,8,2016,134723,107778.4,FY17,T3,Tottenham
21/08/2016,21,33,8,2016,222295,177836,FY17,T3,Tottenham
28/08/2016,28,34,8,2016,493926,395140.8,FY17,T3,Tottenham
04/09/2016,4,35,9,2016,416991,333592.8,FY18,T1,Tottenham
11/09/2016,11,36,9,2016,437464,349971.2,FY18,T1,Tottenham
18/09/2016,18,37,9,2016,395458,316366.4,FY18,T1,Tottenham
25/09/2016,25,38,9,2016,406593,325274.4,FY18,T1,Tottenham
02/10/2016,2,39,10,2016,185825,148660,FY18,T1,Tottenham
09/10/2016,9,40,10,2016,193022,154417.6,FY18,T1,Tottenham
16/10/2016,16,41,10,2016,286950,229560,FY18,T1,Tottenham
23/10/2016,23,42,10,2016,388007,310405.6,FY18,T1,Tottenham
30/10/2016,30,43,10,2016,498290,398632,FY18,T1,Tottenham
06/11/2016,6,44,11,2016,463387,370709.6,FY18,T1,Tottenham
13/11/2016,13,45,11,2016,334479,267583.2,FY18,T1,Tottenham
20/11/2016,20,46,11,2016,410666,328532.8,FY18,T1,Tottenham
27/11/2016,27,47,11,2016,483171,386536.8,FY18,T1,Tottenham
04/12/2016,4,48,12,2016,490360,392288,FY18,T1,Tottenham
11/12/2016,11,49,12,2016,437259,349807.2,FY18,T1,Tottenham
18/12/2016,18,50,12,2016,271694,217355.2,FY18,T1,Tottenham
25/12/2016,25,51,12,2016,409063,327250.4,FY18,T1,Tottenham
01/01/2017,1,52,1,2017,392455,313964,FY18,T2,Tottenham
08/01/2017,8,1,1,2017,448879,359103.2,FY18,T2,Tottenham
15/01/2017,15,2,1,2017,207441,165952.8,FY18,T2,Tottenham
22/01/2017,22,3,1,2017,378975,303180,FY18,T2,Tottenham
29/01/2017,29,4,1,2017,278452,222761.6,FY18,T2,Tottenham
05/02/2017,5,5,2,2017,452747,362197.6,FY18,T2,Tottenham
12/02/2017,12,6,2,2017,145035,116028,FY18,T2,Tottenham
19/02/2017,19,7,2,2017,403165,322532,FY18,T2,Tottenham
26/02/2017,26,8,2,2017,257787,206229.6,FY18,T2,Tottenham
05/03/2017,5,9,3,2017,238009,190407.2,FY18,T2,Tottenham
12/03/2017,12,10,3,2017,214644,171715.2,FY18,T2,Tottenham
19/03/2017,19,11,3,2017,241892,193513.6,FY18,T2,Tottenham
26/03/2017,26,12,3,2017,187598,150078.4,FY18,T2,Tottenham
02/04/2017,2,13,4,2017,258602,206881.6,FY18,T2,Tottenham
09/04/2017,9,14,4,2017,222908,178326.4,FY18,T2,Tottenham
04/01/2015,4,1,1,2015,383529,306823.2,FY16,T2,Lakeside
11/01/2015,11,2,1,2015,156518,125214.4,FY16,T2,Lakeside
18/01/2015,18,3,1,2015,389958,311966.4,FY16,T2,Lakeside
25/01/2015,25,4,1,2015,427814,342251.2,FY16,T2,Lakeside
01/02/2015,1,5,2,2015,430798,344638.4,FY16,T2,Lakeside
08/02/2015,8,6,2,2015,120572,96457.6,FY16,T2,Lakeside
15/02/2015,15,7,2,2015,213102,170481.6,FY16,T2,Lakeside
22/02/2015,22,8,2,2015,207875,166300,FY16,T2,Lakeside
01/03/2015,1,9,3,2015,399817,319853.6,FY16,T2,Lakeside
08/03/2015,8,10,3,2015,235177,188141.6,FY16,T2,Lakeside
15/03/2015,15,11,3,2015,439732,351785.6,FY16,T2,Lakeside
22/03/2015,22,12,3,2015,139144,111315.2,FY16,T2,Lakeside
29/03/2015,29,13,3,2015,173546,138836.8,FY16,T2,Lakeside
05/04/2015,5,14,4,2015,144629,115703.2,FY16,T2,Lakeside
12/04/2015,12,15,4,2015,408962,327169.6,FY16,T2,Lakeside
19/04/2015,19,16,4,2015,209664,167731.2,FY16,T2,Lakeside
26/04/2015,26,17,4,2015,474375,379500,FY16,T2,Lakeside
03/05/2015,3,18,5,2015,268568,214854.4,FY16,T3,Lakeside
10/05/2015,10,19,5,2015,125279,100223.2,FY16,T3,Lakeside
17/05/2015,17,20,5,2015,144677,115741.6,FY16,T3,Lakeside
24/05/2015,24,21,5,2015,292114,233691.2,FY16,T3,Lakeside
31/05/2015,31,22,5,2015,228064,182451.2,FY16,T3,Lakeside
07/06/2015,7,23,6,2015,483780,387024,FY16,T3,Lakeside
14/06/2015,14,24,6,2015,143441,114752.8,FY16,T3,Lakeside
21/06/2015,21,25,6,2015,203472,162777.6,FY16,T3,Lakeside
28/06/2015,28,26,6,2015,348293,278634.4,FY16,T3,Lakeside
05/07/2015,5,27,7,2015,266671,213336.8,FY16,T3,Lakeside
12/07/2015,12,28,7,2015,325948,260758.4,FY16,T3,Lakeside
19/07/2015,19,29,7,2015,303352,242681.6,FY16,T3,Lakeside
26/07/2015,26,30,7,2015,461093,368874.4,FY16,T3,Lakeside
02/08/2015,2,31,8,2015,486275,389020,FY16,T3,Lakeside
09/08/2015,9,32,8,2015,366771,293416.8,FY16,T3,Lakeside
16/08/2015,16,33,8,2015,399002,319201.6,FY16,T3,Lakeside
23/08/2015,23,34,8,2015,490827,392661.6,FY16,T3,Lakeside
30/08/2015,30,35,8,2015,293559,234847.2,FY16,T3,Lakeside
06/09/2015,6,36,9,2015,426175,340940,FY17,T1,Lakeside
13/09/2015,13,37,9,2015,133492,106793.6,FY17,T1,Lakeside
20/09/2015,20,38,9,2015,277272,221817.6,FY17,T1,Lakeside
27/09/2015,27,39,9,2015,146313,117050.4,FY17,T1,Lakeside
04/10/2015,4,40,10,2015,376011,300808.8,FY17,T1,Lakeside
11/10/2015,11,41,10,2015,440666,352532.8,FY17,T1,Lakeside
18/10/2015,18,42,10,2015,373373,298698.4,FY17,T1,Lakeside
25/10/2015,25,43,10,2015,127490,101992,FY17,T1,Lakeside
01/11/2015,1,44,11,2015,389998,311998.4,FY17,T1,Lakeside
08/11/2015,8,45,11,2015,483944,387155.2,FY17,T1,Lakeside
15/11/2015,15,46,11,2015,237774,190219.2,FY17,T1,Lakeside
22/11/2015,22,47,11,2015,391488,313190.4,FY17,T1,Lakeside
29/11/2015,29,48,11,2015,346903,277522.4,FY17,T1,Lakeside
06/12/2015,6,49,12,2015,446604,357283.2,FY17,T1,Lakeside
13/12/2015,13,50,12,2015,110848,88678.4,FY17,T1,Lakeside
20/12/2015,20,51,12,2015,310026,248020.8,FY17,T1,Lakeside
27/12/2015,27,52,12,2015,201723,161378.4,FY17,T1,Lakeside
03/01/2016,3,53,1,2016,260746,208596.8,FY17,T2,Lakeside
10/01/2016,10,1,1,2016,188482,150785.6,FY17,T2,Lakeside
17/01/2016,17,2,1,2016,269952,215961.6,FY17,T2,Lakeside
24/01/2016,24,3,1,2016,114435,91548,FY17,T2,Lakeside
31/01/2016,31,4,1,2016,123019,98415.2,FY17,T2,Lakeside
07/02/2016,7,5,2,2016,475194,380155.2,FY17,T2,Lakeside
14/02/2016,14,6,2,2016,408932,327145.6,FY17,T2,Lakeside
21/02/2016,21,7,2,2016,125668,100534.4,FY17,T2,Lakeside
28/02/2016,28,8,2,2016,302901,242320.8,FY17,T2,Lakeside
06/03/2016,6,9,3,2016,195199,156159.2,FY17,T2,Lakeside
13/03/2016,13,10,3,2016,327763,262210.4,FY17,T2,Lakeside
20/03/2016,20,11,3,2016,498036,398428.8,FY17,T2,Lakeside
27/03/2016,27,12,3,2016,205455,164364,FY17,T2,Lakeside
03/04/2016,3,13,4,2016,371531,297224.8,FY17,T2,Lakeside
10/04/2016,10,14,4,2016,166355,133084,FY17,T2,Lakeside
17/04/2016,17,15,4,2016,128058,102446.4,FY17,T2,Lakeside
24/04/2016,24,16,4,2016,489226,391380.8,FY17,T2,Lakeside
01/05/2016,1,17,5,2016,361705,289364,FY17,T3,Lakeside
08/05/2016,8,18,5,2016,120967,96773.6,FY17,T3,Lakeside
15/05/2016,15,19,5,2016,471606,377284.8,FY17,T3,Lakeside
22/05/2016,22,20,5,2016,451510,361208,FY17,T3,Lakeside
29/05/2016,29,21,5,2016,120780,96624,FY17,T3,Lakeside
05/06/2016,5,22,6,2016,350513,280410.4,FY17,T3,Lakeside
12/06/2016,12,23,6,2016,270181,216144.8,FY17,T3,Lakeside
19/06/2016,19,24,6,2016,210860,168688,FY17,T3,Lakeside
26/06/2016,26,25,6,2016,496482,397185.6,FY17,T3,Lakeside
03/07/2016,3,26,7,2016,364742,291793.6,FY17,T3,Lakeside
10/07/2016,10,27,7,2016,300745,240596,FY17,T3,Lakeside
17/07/2016,17,28,7,2016,137203,109762.4,FY17,T3,Lakeside
24/07/2016,24,29,7,2016,164573,131658.4,FY17,T3,Lakeside
31/07/2016,31,30,7,2016,430537,344429.6,FY17,T3,Lakeside
07/08/2016,7,31,8,2016,226738,181390.4,FY17,T3,Lakeside
14/08/2016,14,32,8,2016,361014,288811.2,FY17,T3,Lakeside
21/08/2016,21,33,8,2016,198724,158979.2,FY17,T3,Lakeside
28/08/2016,28,34,8,2016,370012,296009.6,FY17,T3,Lakeside
04/09/2016,4,35,9,2016,424892,339913.6,FY18,T1,Lakeside
11/09/2016,11,36,9,2016,462178,369742.4,FY18,T1,Lakeside
18/09/2016,18,37,9,2016,188464,150771.2,FY18,T1,Lakeside
25/09/2016,25,38,9,2016,417133,333706.4,FY18,T1,Lakeside
02/10/2016,2,39,10,2016,491658,393326.4,FY18,T1,Lakeside
09/10/2016,9,40,10,2016,360674,288539.2,FY18,T1,Lakeside
16/10/2016,16,41,10,2016,176762,141409.6,FY18,T1,Lakeside
23/10/2016,23,42,10,2016,299018,239214.4,FY18,T1,Lakeside
30/10/2016,30,43,10,2016,109419,87535.2,FY18,T1,Lakeside
06/11/2016,6,44,11,2016,162723,130178.4,FY18,T1,Lakeside
13/11/2016,13,45,11,2016,335020,268016,FY18,T1,Lakeside
20/11/2016,20,46,11,2016,247992,198393.6,FY18,T1,Lakeside
27/11/2016,27,47,11,2016,448398,358718.4,FY18,T1,Lakeside
04/12/2016,4,48,12,2016,490156,392124.8,FY18,T1,Lakeside
11/12/2016,11,49,12,2016,370856,296684.8,FY18,T1,Lakeside
18/12/2016,18,50,12,2016,362896,290316.8,FY18,T1,Lakeside
25/12/2016,25,51,12,2016,498431,398744.8,FY18,T1,Lakeside
01/01/2017,1,52,1,2017,187743,150194.4,FY18,T2,Lakeside
08/01/2017,8,1,1,2017,435447,348357.6,FY18,T2,Lakeside
15/01/2017,15,2,1,2017,186272,149017.6,FY18,T2,Lakeside
22/01/2017,22,3,1,2017,268782,215025.6,FY18,T2,Lakeside
29/01/2017,29,4,1,2017,492592,394073.6,FY18,T2,Lakeside
05/02/2017,5,5,2,2017,422475,337980,FY18,T2,Lakeside
12/02/2017,12,6,2,2017,137193,109754.4,FY18,T2,Lakeside
19/02/2017,19,7,2,2017,414479,331583.2,FY18,T2,Lakeside
26/02/2017,26,8,2,2017,466827,373461.6,FY18,T2,Lakeside
05/03/2017,5,9,3,2017,454263,363410.4,FY18,T2,Lakeside
12/03/2017,12,10,3,2017,140789,112631.2,FY18,T2,Lakeside
19/03/2017,19,11,3,2017,198221,158576.8,FY18,T2,Lakeside
26/03/2017,26,12,3,2017,155809,124647.2,FY18,T2,Lakeside
02/04/2017,2,13,4,2017,480671,384536.8,FY18,T2,Lakeside
09/04/2017,9,14,4,2017,156315,125052,FY18,T2,Lakeside
04/01/2015,4,1,1,2015,173925,139140,FY16,T2,Wembley
11/01/2015,11,2,1,2015,476600,381280,FY16,T2,Wembley
18/01/2015,18,3,1,2015,389683,311746.4,FY16,T2,Wembley
25/01/2015,25,4,1,2015,228749,182999.2,FY16,T2,Wembley
01/02/2015,1,5,2,2015,374641,299712.8,FY16,T2,Wembley
08/02/2015,8,6,2,2015,138390,110712,FY16,T2,Wembley
15/02/2015,15,7,2,2015,490972,392777.6,FY16,T2,Wembley
22/02/2015,22,8,2,2015,210928,168742.4,FY16,T2,Wembley
01/03/2015,1,9,3,2015,167070,133656,FY16,T2,Wembley
08/03/2015,8,10,3,2015,389819,311855.2,FY16,T2,Wembley
15/03/2015,15,11,3,2015,113444,90755.2,FY16,T2,Wembley
22/03/2015,22,12,3,2015,176313,141050.4,FY16,T2,Wembley
29/03/2015,29,13,3,2015,282824,226259.2,FY16,T2,Wembley
05/04/2015,5,14,4,2015,267203,213762.4,FY16,T2,Wembley
12/04/2015,12,15,4,2015,382941,306352.8,FY16,T2,Wembley
19/04/2015,19,16,4,2015,212484,169987.2,FY16,T2,Wembley
26/04/2015,26,17,4,2015,414451,331560.8,FY16,T2,Wembley
03/05/2015,3,18,5,2015,408939,327151.2,FY16,T3,Wembley
10/05/2015,10,19,5,2015,409867,327893.6,FY16,T3,Wembley
17/05/2015,17,20,5,2015,102792,82233.6,FY16,T3,Wembley
24/05/2015,24,21,5,2015,318340,254672,FY16,T3,Wembley
31/05/2015,31,22,5,2015,349112,279289.6,FY16,T3,Wembley
07/06/2015,7,23,6,2015,218894,175115.2,FY16,T3,Wembley
14/06/2015,14,24,6,2015,491389,393111.2,FY16,T3,Wembley
21/06/2015,21,25,6,2015,381036,304828.8,FY16,T3,Wembley
28/06/2015,28,26,6,2015,263480,210784,FY16,T3,Wembley
